species,decimalLatitude,decimalLongitude
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
Alectura lathami,-17.2911,145.6316
